State,"Total Medicaid Enrollees","Total VIII Group Enrollees","Total VIII Group Newly Eligible Enrollees","Total VIII Group Not Newly Eligible Enrollees","Updated Year","Updated Month","Enrollment Year","Enrollment Month",Notes
"N. Mariana Islands",15472,,,,2018,8,2016,11,
Kansas,396207,,,,2018,8,2016,12,
"Rhode Island",295526,65749,65749,0,2018,8,2016,12,
Ohio,3065181,715301,651802,63499,2018,8,2016,12,
Iowa,593285,148783,137509,11274,2018,8,2016,12,
Utah,311090,,,,2018,8,2016,10,
Colorado,1341398,449144,446857,2287,2018,8,2016,11,
Louisiana,1608887,360197,360197,0,2018,8,2016,11,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Texas,4357047,,,,2018,8,2016,11,
"Rhode Island",286457,62225,62225,0,2018,8,2016,10,
Iowa,599175,150047,138944,11103,2018,8,2016,10,
Alaska,175135,29710,29595,115,2018,8,2016,11,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Georgia,1830873,,,,2018,8,2016,12,
Michigan,2346096,650368,603811,46557,2018,8,2016,11,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Delaware,203393,60366,11199,49167,2018,8,2016,12,
Alaska,173746,30038,29915,123,2018,8,2016,12,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Illinois,2900838,679268,644632,34636,2018,8,2016,10,
Montana,224263,65236,65236,0,2018,8,2016,11,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Oklahoma,679451,,,,2018,8,2016,11,
Louisiana,1621257,376668,376668,0,2018,8,2016,12,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Colorado,1343704,452872,450632,2240,2018,8,2016,12,
"New Mexico",884014,256397,256397,0,2018,8,2016,10,
Hawaii,330503,116154,21834,94320,2018,8,2016,12,
"New York",6071555,1836637,277769,1558868,2018,8,2016,12,
Washington,1830365,603871,589390,14481,2018,8,2016,10,
Texas,4359534,,,,2018,8,2016,10,
Wyoming,61282,,,,2018,8,2016,11,
"North Dakota *",93661,20987,19967,1020,2018,8,2016,10,"Awaiting state reporting/enrollment reasonableness review in progress"
Arizona,1936255,424130,109358,314772,2018,8,2016,10,
Guam,35610,3482,,3482,2018,8,2016,11,
Nevada,603485,207966,207966,0,2018,8,2016,12,
"South Carolina",1261850,,,,2018,8,2016,10,
Missouri,988818,,,,2018,8,2016,11,
Kentucky,1314991,461256,461256,0,2018,8,2016,10,
"American Samoa",41214,,,,2018,8,2016,10,
Maryland,1167236,280955,280955,0,2018,8,2016,10,
Georgia,1835385,,,,2018,8,2016,10,
"South Dakota",107776,,,,2018,8,2016,12,
"New Jersey",1706351,566878,566878,0,2018,8,2016,11,
Missouri,987840,,,,2018,8,2016,12,
"New Hampshire",203100,54848,54622,226,2018,8,2016,11,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
"North Carolina",2085729,,,,2018,8,2016,12,
Kansas,408145,,,,2018,8,2016,10,
"Rhode Island",289089,63233,63233,0,2018,8,2016,11,
Texas,4346036,,,,2018,8,2016,12,
Mississippi,714223,,,,2018,8,2016,11,
Maryland,1183022,291044,291044,0,2018,8,2016,12,
"South Dakota",107677,,,,2018,8,2016,10,
Arkansas,952156,323993,313777,10216,2018,8,2016,10,
Mississippi,715980,,,,2018,8,2016,10,
"West Virginia",570205,182336,182336,0,2018,8,2016,11,
Indiana,1323145,422299,266801,155498,2018,8,2016,11,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
California,11918569,3751905,3751905,0,2018,8,2016,12,
Wyoming,62411,,,,2018,8,2016,12,
Nebraska,239811,,,,2018,8,2016,10,
Wisconsin,1185344,,,,2018,8,2016,12,
Montana,220902,61879,61879,0,2018,8,2016,10,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Vermont,186722,59339,0,59339,2018,8,2016,12,
Minnesota,1129729,186938,186122,816,2018,8,2016,12,
California,12139096,3707710,3707710,0,2018,8,2016,10,
Arkansas,949249,322921,313139,9782,2018,8,2016,11,
Alabama,1031957,,,,2018,8,2016,10,
"North Carolina",2080802,,,,2018,8,2016,11,
Hawaii,329073,114546,21209,93337,2018,8,2016,11,
"North Carolina",2074077,,,,2018,8,2016,10,
"N. Mariana Islands",15472,,,,2018,8,2016,10,
Oregon,1026271,499046,417865,81181,2018,8,2016,10,
Maryland,1175307,285679,285679,0,2018,8,2016,11,
Washington,1837842,610660,596403,14257,2018,8,2016,11,
Georgia,1833019,,,,2018,8,2016,11,
"North Dakota *",93170,20981,19965,1016,2018,8,2016,12,"Awaiting state reporting/enrollment reasonableness review in progress"
"District of Columbia",247513,105643,66692,38951,2018,8,2016,11,
Arizona,1942629,428138,110445,317693,2018,8,2016,11,
Minnesota,1147089,189184,188370,814,2018,8,2016,11,
Montana,225413,68027,68027,0,2018,8,2016,12,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Tennessee,1714182,,,,2018,8,2016,10,
Connecticut,891841,219917,202955,16962,2018,8,2016,11,
Maine,262731,,,,2018,8,2016,10,
Pennsylvania,2824584,776319,733629,42690,2018,8,2016,12,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Kentucky,1317113,463859,463859,0,2018,8,2016,11,
Florida,4023691,,,,2018,8,2016,11,
Oregon,1005138,483581,403755,79826,2018,8,2016,11,
Alabama,1030995,,,,2018,8,2016,11,
Michigan,2372229,665259,616931,48328,2018,8,2016,12,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Missouri,987737,,,,2018,8,2016,10,
Nevada,600294,204878,204878,0,2018,8,2016,10,
"District of Columbia",249397,106590,67486,39104,2018,8,2016,12,
"New Mexico",882470,258183,258183,0,2018,8,2016,11,
Nebraska,238860,,,,2018,8,2016,12,
"New Jersey",1698700,559161,559161,0,2018,8,2016,10,
Washington,1847025,619524,605472,14052,2018,8,2016,12,
Idaho,316600,,,,2018,8,2016,10,
Mississippi,711197,,,,2018,8,2016,12,
Alaska,171261,28052,27945,107,2018,8,2016,10,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Minnesota,1153769,189057,188319,738,2018,8,2016,10,
Idaho,319981,,,,2018,8,2016,12,
"N. Mariana Islands",15472,,,,2018,8,2016,12,
Guam,35164,3441,,3441,2018,8,2016,12,
Massachusetts,1858429,384060,0,384060,2018,8,2016,10,
Vermont,187776,58781,0,58781,2018,8,2016,10,
Wisconsin,1190904,,,,2018,8,2016,10,
"Puerto Rico",1284194,387646,,387646,2018,8,2016,11,
"New Hampshire",204299,56228,56013,215,2018,8,2016,12,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
"New Jersey",1713315,573414,573414,0,2018,8,2016,12,
"District of Columbia",246598,105292,66417,38875,2018,8,2016,10,
"South Carolina",1260460,,,,2018,8,2016,11,
Louisiana,1593231,342075,342075,0,2018,8,2016,10,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
"Virgin Islands",23349,3933,,3933,2018,8,2016,12,"Virgin Islands expanded its Mediciad program by adopting the VIII Group on June 1, 2015."
Kansas,402675,,,,2018,8,2016,11,
Tennessee,1711583,,,,2018,8,2016,12,
"New York",6093846,1849729,277645,1572084,2018,8,2016,11,
Oklahoma,675243,,,,2018,8,2016,10,
"New Mexico",876721,259537,259537,0,2018,8,2016,12,
Pennsylvania,2809248,761093,718206,42887,2018,8,2016,11,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Tennessee,1722255,,,,2018,8,2016,11,
Nevada,600135,205406,205406,0,2018,8,2016,11,
Utah,308729,,,,2018,8,2016,12,
California,12040213,3740204,3740204,0,2018,8,2016,11,
Ohio,3063334,716815,652606,64209,2018,8,2016,11,
Nebraska,238916,,,,2018,8,2016,11,
Wyoming,62132,,,,2018,8,2016,10,
Virginia,1009417,,,,2018,8,2016,12,
Colorado,1332134,441880,439591,2289,2018,8,2016,10,
Connecticut,887860,216945,201121,15824,2018,8,2016,10,
Delaware,204018,60472,11356,49116,2018,8,2016,11,
Massachusetts,1866143,393026,0,393026,2018,8,2016,11,
"South Dakota",107583,,,,2018,8,2016,11,
Alabama,1027611,,,,2018,8,2016,12,
Guam,35950,3462,,3462,2018,8,2016,10,
"Virgin Islands",23216,3932,,3932,2018,8,2016,11,"Virgin Islands expanded its Mediciad program by adopting the VIII Group on June 1, 2015."
Indiana,1310277,424966,278610,146356,2018,8,2016,12,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
"New Hampshire",203208,54459,54254,205,2018,8,2016,10,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Oregon,974238,465116,388046,77070,2018,8,2016,12,
"North Dakota *",93588,21018,20006,1012,2018,8,2016,11,"Awaiting state reporting/enrollment reasonableness review in progress"
Iowa,596022,149182,138046,11136,2018,8,2016,11,
Ohio,3057625,715888,651038,64850,2018,8,2016,10,
"Puerto Rico",1279468,387208,,387208,2018,8,2016,12,
Pennsylvania,2800162,753723,710411,43312,2018,8,2016,10,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Arizona,1948835,431757,111690,320067,2018,8,2016,12,
Massachusetts,1863779,387201,0,387201,2018,8,2016,12,
Maine,260705,,,,2018,8,2016,12,
Illinois,2909518,695645,659366,36279,2018,8,2016,12,
Delaware,202175,59337,11059,48278,2018,8,2016,10,
"South Carolina",1258298,,,,2018,8,2016,12,
Arkansas,956204,326213,316483,9730,2018,8,2016,12,
"West Virginia",567270,181105,181105,0,2018,8,2016,12,
Florida,4054970,,,,2018,8,2016,10,
"American Samoa",41214,,,,2018,8,2016,12,
Maine,261321,,,,2018,8,2016,11,
Connecticut,896525,223612,209700,13912,2018,8,2016,12,
Idaho,317879,,,,2018,8,2016,11,
Vermont,186819,59103,0,59103,2018,8,2016,11,
"West Virginia",572978,183111,183111,0,2018,8,2016,10,
Oklahoma,679311,,,,2018,8,2016,12,
Florida,3917037,,,,2018,8,2016,12,
"Puerto Rico",1279563,384549,,384549,2018,8,2016,10,
Illinois,2904354,685435,649830,35605,2018,8,2016,11,
Virginia,1007768,,,,2018,8,2016,11,
"New York",6113753,1864717,276707,1588010,2018,8,2016,10,
Indiana,1332600,419034,257252,161782,2018,8,2016,10,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Virginia,1004477,,,,2018,8,2016,10,
"Virgin Islands",23199,3933,,3933,2018,8,2016,10,"Virgin Islands expanded its Mediciad program by adopting the VIII Group on June 1, 2015."
Utah,309951,,,,2018,8,2016,11,
Wisconsin,1187671,,,,2018,8,2016,11,
"American Samoa",41214,,,,2018,8,2016,11,
Kentucky,1317567,466193,466193,0,2018,8,2016,12,
Hawaii,328556,113447,20772,92675,2018,8,2016,10,
Michigan,2332060,640512,594431,46081,2018,8,2016,10,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
