State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Notes
Wyoming,58687,,,,2019,12,2018,5,
Mississippi,683577,,,,2019,12,2018,6,
Ohio,2934726,603026,602698,328,2019,12,2018,6,
Connecticut,927265,248443,226951,21492,2019,12,2018,6,
Iowa,602532,165509,151969,13540,2019,12,2018,6,
Nevada,600837,214489,214489,0,2019,12,2018,6,
South Dakota,105484,,,,2019,12,2018,6,
Vermont,175896,57625,0,57625,2019,12,2018,6,
Amer. Samoa,27898,,,,2019,12,2018,6,
Virginia,1069506,,,,2019,12,2018,6,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Kansas,373438,,,,2019,12,2018,4,
South Dakota,105999,,,,2019,12,2018,5,
Mississippi,690180,,,,2019,12,2018,4,
Wyoming,59007,,,,2019,12,2018,4,
District of Columbia,260422,109689,69206,40483,2019,12,2018,5,
Indiana,1350223,314421,314421,0,2019,12,2018,4,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Minnesota,1084832,201427,200712,715,2019,12,2018,6,
Kentucky,1328039,467275,467275,0,2019,12,2018,6,
Alaska,198535,44653,44628,25,2019,12,2018,5,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Virginia,1059761,,,,2019,12,2018,4,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
New Hampshire,189480,55881,55590,291,2019,12,2018,4,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Texas,4274020,,,,2019,12,2018,4,
Maine,256936,0,0,0,2019,12,2018,5,"Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Alabama,1020672,,,,2019,12,2018,5,
Kansas,364986,,,,2019,12,2018,5,
Tennessee,1601537,,,,2019,12,2018,4,
Illinois,2827783,717537,610604,106933,2019,12,2018,6,
Florida,3931883,,,,2019,12,2018,4,
South Dakota,105769,,,,2019,12,2018,4,
South Carolina,1234824,,,,2019,12,2018,6,
Missouri,964163,,,,2019,12,2018,5,
Guam,36260,3995,,3995,2019,12,2018,4,
Kentucky,1333466,470924,470924,0,2019,12,2018,5,
Oregon,965406,459175,386416,72759,2019,12,2018,4,
Guam,36209,4038,,4038,2019,12,2018,5,
Puerto Rico,1284209,419875,,419875,2019,12,2018,6,
