State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Notes
Alabama,"1,174,028",N/A,N/A,N/A,2022,12,2021,4,
Alaska,"239,859","66,549","66,549",0,2022,12,2021,4,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Amer. Samoa,"37,756",N/A,N/A,N/A,2022,12,2021,4,
Arizona,"2,162,538","588,524","183,122","405,402",2022,12,2021,4,
Arkansas,"946,058","320,751","317,152","3,599",2022,12,2021,4,
California,"13,580,443","4,335,822","4,307,192","28,630",2022,12,2021,4,
Colorado,"1,471,796","521,577","512,080","9,497",2022,12,2021,4,
Connecticut,"1,050,445","356,938","327,542","29,396",2022,12,2021,4,
Delaware,"249,163","76,877","11,930","64,947",2022,12,2021,4,
District of Columbia,"266,334","119,460","76,628","42,832",2022,12,2021,4,
Florida,"4,744,818",N/A,N/A,N/A,2022,12,2021,4,
Georgia,"2,287,973",N/A,N/A,N/A,2022,12,2021,4,
Guam,"34,044","4,045",N/A,"4,045",2022,12,2021,4,
Hawaii,"417,794","157,550","27,963","129,587",2022,12,2021,4,
Idaho,"416,972","101,847","101,847",0,2022,12,2021,4,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
Illinois,"3,059,760","863,855","760,520","103,335",2022,12,2021,4,
Indiana,"1,753,814","486,677","486,677",0,2022,12,2021,4,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Iowa,"702,374","219,821","185,384","34,437",2022,12,2021,4,
Kansas,"408,420",N/A,N/A,N/A,2022,12,2021,4,
Kentucky,"1,559,136","646,509","646,509",0,2022,12,2021,4,
Louisiana,"1,868,422","632,480","632,480",0,2022,12,2021,4," Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Maine,"344,232","82,113","64,290","17,823",2022,12,2021,4,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Maryland,"1,429,808","385,994","385,994",0,2022,12,2021,4,
Massachusetts,"1,869,843","408,326",0,"408,326",2022,12,2021,4,
Michigan,"2,804,067","908,589","850,139","58,450",2022,12,2021,4,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Minnesota,"1,229,560","248,797","248,797",0,2022,12,2021,4,
Mississippi,"763,570",N/A,N/A,N/A,2022,12,2021,4,
Missouri,"1,050,779",0,0,0,2022,12,2021,4,"Missouri expanded its Medicaid program by adopting the VIII Group on October 1, 2021."
Montana,"274,072","105,451","105,451",0,2022,12,2021,4,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
N. Mariana Islands,"16,580",N/A,N/A,N/A,2022,12,2021,4,
Nebraska,"322,682","41,152","40,354",798,2022,12,2021,4,
Nevada,"741,882","297,691","297,691",0,2022,12,2021,4,
New Hampshire,"216,637","76,190","75,776",414,2022,12,2021,4,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
New Jersey,"1,859,803","669,991","669,991",0,2022,12,2021,4,
New Mexico,"927,086","288,684","288,684",0,2022,12,2021,4,
New York,"6,992,993","2,340,975","412,711","1,928,264",2022,12,2021,4,
North Carolina,"2,492,274",N/A,N/A,N/A,2022,12,2021,4,
North Dakota,"114,730","27,098","25,606","1,492",2022,12,2021,4,
Ohio,"3,228,947","723,737","723,479",258,2022,12,2021,4,
Oklahoma,"824,326",0,0,0,2022,12,2021,4,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021."
Oregon,"1,158,480","617,092","525,788","91,304",2022,12,2021,4,
Pennsylvania,"3,259,090","1,018,582","967,064","51,518",2022,12,2021,4,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Puerto Rico,"1,409,163","576,989",N/A,"576,989",2022,12,2021,4,
Rhode Island,"329,020","86,654","86,654",0,2022,12,2021,4,
South Carolina,"1,416,986",N/A,N/A,N/A,2022,12,2021,4,
South Dakota,"119,230",N/A,N/A,N/A,2022,12,2021,4,
Tennessee,"1,699,765",N/A,N/A,N/A,2022,12,2021,4,
Texas,"5,087,462",N/A,N/A,N/A,2022,12,2021,4,
Utah,"420,076","91,619","90,797",822,2022,12,2021,4,"Utah expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
Vermont,"188,114","69,918",0,"69,918",2022,12,2021,4,
Virgin Islands,"34,563","17,180",N/A,"17,180",2022,12,2021,4,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
Virginia,"1,645,251","538,660","538,660",0,2022,12,2021,4,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Washington,"1,965,875","712,913","696,977","15,936",2022,12,2021,4,
West Virginia,"594,503","205,154","205,154",0,2022,12,2021,4,
Wisconsin,"1,396,403",N/A,N/A,N/A,2022,12,2021,4,
Wyoming,"71,129",N/A,N/A,N/A,2022,12,2021,4,
Totals,"86,730,928","20,038,831","15,943,632","4,095,199",2022,12,2021,4,
Alabama,"1,180,988",N/A,N/A,N/A,2022,12,2021,5,
Alaska,"240,570","66,959","66,959",0,2022,12,2021,5,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Amer. Samoa,"37,756",N/A,N/A,N/A,2022,12,2021,5,
Arizona,"2,177,911","597,205","184,969","412,236",2022,12,2021,5,
Arkansas,"951,191","322,419","316,478","5,941",2022,12,2021,5,
California,"13,617,430","4,366,240","4,337,515","28,725",2022,12,2021,5,
Colorado,"1,483,771","528,438","518,911","9,527",2022,12,2021,5,
