State,"Total Medicaid Enrollees","Total VIII Group Enrollees","Total VIII Group Newly Eligible Enrollees","Total VIII Group Not Newly Eligible Enrollees","Updated Year","Updated Month","Enrollment Year","Enrollment Month",Notes
Totals,70888822,7934664,5750308,2184356,2016,12,2014,4,
Arkansas,825592,234991,191738,43253,2016,12,2014,6,
California,13990539,1938470,1938470,0,2016,12,2014,5,
Tennessee,1417284,,,,2016,12,2014,5,
"Rhode Island",256150,42271,42271,0,2016,12,2014,4,
Arizona,1577367,259147,36443,222704,2016,12,2014,5,
Oklahoma,732897,,,,2016,12,2014,6,
"New Mexico",679663,138893,138893,0,2016,12,2014,5,
"New York",5766712,983429,103253,880176,2016,12,2014,5,
Massachusetts,1766643,299557,0,299557,2016,12,2014,4,
"North Carolina",1865032,,,,2016,12,2014,6,
Florida,3861446,,,,2016,12,2014,4,
Wisconsin,1199028,,,,2016,12,2014,4,
Arizona,1605491,270591,37370,233221,2016,12,2014,6,
California,14077741,2017684,2017684,0,2016,12,2014,6,
Guam,36739,3083,,3083,2016,12,2014,6,
"Puerto Rico",1228611,481726,,481726,2016,12,2014,5,
"West Virginia",488375,117257,117257,0,2016,12,2014,4,
Arizona,1538268,246222,33439,212783,2016,12,2014,4,
Iowa,541226,102534,98966,3568,2016,12,2014,5,
Wisconsin,1200151,,,,2016,12,2014,6,
Montana,150216,,,,2016,12,2014,5,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"South Dakota",108507,,,,2016,12,2014,6,
Illinois,2933035,457523,456301,1222,2016,12,2014,6,
Florida,3878380,,,,2016,12,2014,5,
"American Samoa",36726,,,,2016,12,2014,4,
"South Carolina",1078743,,,,2016,12,2014,4,
"Virgin Islands",14310,,,,2016,12,2014,6,"Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
California,13872494,1852956,1852956,0,2016,12,2014,4,
Connecticut,810081,159243,150782,8461,2016,12,2014,5,
Illinois,2930036,435536,434675,861,2016,12,2014,5,
"American Samoa",36726,,,,2016,12,2014,5,
Missouri,777030,,,,2016,12,2014,4,
Washington,1588275,416481,399287,17194,2016,12,2014,6,
Indiana,1091068,,,,2016,12,2014,5,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Georgia,1721743,,,,2016,12,2014,5,
Mississippi,689153,,,,2016,12,2014,6,
Maine,296674,,,,2016,12,2014,4,
Connecticut,816861,162299,153383,8916,2016,12,2014,6,
Louisiana,1264882,,,,2016,12,2014,6,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Kentucky,1101231,287506,287506,0,2016,12,2014,5,
Nevada,463481,101384,101384,0,2016,12,2014,5,
Alaska,116337,,,,2016,12,2014,5,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Illinois,2919312,414822,414249,573,2016,12,2014,4,
Nevada,436037,83216,83216,0,2016,12,2014,4,
"New Jersey",1537791,450975,450975,0,2016,12,2014,6,
Missouri,782371,,,,2016,12,2014,6,
Delaware,194805,55937,6190,49747,2016,12,2014,5,
Georgia,1739952,,,,2016,12,2014,6,
Delaware,198188,55238,5358,49880,2016,12,2014,4,
Oregon,966488,423059,340275,82784,2016,12,2014,5,
Wyoming,69585,,,,2016,12,2014,5,
"South Carolina",1086530,,,,2016,12,2014,5,
"Puerto Rico",1239612,500781,,500781,2016,12,2014,4,
"Rhode Island",259243,45259,45259,0,2016,12,2014,6,
Tennessee,1424822,,,,2016,12,2014,6,
Utah,311905,,,,2016,12,2014,6,
"New Mexico",677369,134292,134292,0,2016,12,2014,4,
Massachusetts,1798346,302795,0,302795,2016,12,2014,6,
Alabama,1020802,,,,2016,12,2014,4,
Kansas,369707,,,,2016,12,2014,6,
Guam,36924,3150,,3150,2016,12,2014,5,
Vermont,183886,45836,0,45836,2016,12,2014,4,
Texas,4088395,,,,2016,12,2014,6,
Iowa,533232,93813,90124,3689,2016,12,2014,4,
Nebraska,236510,,,,2016,12,2014,4,
Oregon,966213,423448,340198,83250,2016,12,2014,4,
Virginia,900240,,,,2016,12,2014,5,
"North Dakota",80996,10346,10135,211,2016,12,2014,5,
Ohio,2703988,330271,307475,22796,2016,12,2014,5,
"District of Columbia",234516,50181,50181,0,2016,12,2014,4,
"North Dakota",79031,10611,10351,260,2016,12,2014,6,
Michigan,2128637,326627,304205,22422,2016,12,2014,6,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
"District of Columbia",235611,50610,50610,0,2016,12,2014,5,
Kansas,369784,,,,2016,12,2014,5,
Michigan,1999310,219040,205777,13263,2016,12,2014,4,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
"New Mexico",679117,141937,141937,0,2016,12,2014,6,
"North Carolina",1850567,,,,2016,12,2014,4,
Colorado,1009483,227671,226319,1352,2016,12,2014,4,
Maryland,1160217,203877,203877,0,2016,12,2014,6,
Nebraska,231795,,,,2016,12,2014,6,
Maryland,1146711,189277,189277,0,2016,12,2014,5,
Maryland,1128986,182456,182456,0,2016,12,2014,4,
Missouri,774010,,,,2016,12,2014,5,
Virginia,906574,,,,2016,12,2014,6,
Hawaii,287393,76720,42231,34489,2016,12,2014,6,
Idaho,277167,,,,2016,12,2014,5,
Montana,151180,,,,2016,12,2014,4,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Idaho,277090,,,,2016,12,2014,4,
Mississippi,674061,,,,2016,12,2014,4,
Alaska,113933,,,,2016,12,2014,4,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Maine,296097,,,,2016,12,2014,5,
"New Hampshire",138562,,,,2016,12,2014,5,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
"N. Mariana Islands",17000,,,,2016,12,2014,5,
Idaho,276856,,,,2016,12,2014,6,
"District of Columbia",236687,51136,51136,0,2016,12,2014,6,
