State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Notes
Alabama ,"1,274,106",N/A,N/A,N/A,2025,3,2023,10,
Alaska ,"244,138","70,716","70,716",0,2025,3,2023,10,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Amer. Samoa ,"33,746",N/A,N/A,N/A,2025,3,2023,10,
Arizona ,"2,189,701","645,977","128,255","517,722",2025,3,2023,10,
Arkansas ,"833,064","258,671","249,405","9,266",2025,3,2023,10,
California ,"15,027,928","5,158,727","5,129,486","29,241",2025,3,2023,10,
Colorado ,"1,514,567","545,149","533,777","11,372",2025,3,2023,10,
Connecticut ,"1,112,775","364,726","333,638","31,088",2025,3,2023,10,
Delaware ,"281,904","94,924","14,084","80,840",2025,3,2023,10,
District of Columbia ,"287,494","133,863","88,870","44,993",2025,3,2023,10,
Florida ,"5,144,491",N/A,N/A,N/A,2025,3,2023,10,
Georgia ,"2,427,413",N/A,N/A,N/A,2025,3,2023,10,
Guam ,"45,008","6,310",N/A,"6,310",2025,3,2023,10,
Hawaii ,"471,887","181,425","30,183","151,242",2025,3,2023,10,
Idaho ,"365,633","98,791","98,791",0,2025,3,2023,10,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
Illinois ,"3,331,785","971,058","888,665","82,393",2025,3,2023,10,
Indiana ,"1,967,139","585,137","585,137",0,2025,3,2023,10,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Iowa ,"665,102","203,611","184,568","19,043",2025,3,2023,10,
Kansas ,"431,836",N/A,N/A,N/A,2025,3,2023,10,
Kentucky ,"1,512,894","591,963","591,963",0,2025,3,2023,10,
Louisiana ,"2,160,030","989,621","727,104","262,517",2025,3,2023,10,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Maine ,"400,654","114,835","91,122","23,713",2025,3,2023,10,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Maryland ,"1,572,628","457,294","457,294",0,2025,3,2023,10,
Massachusetts ,"2,275,212","481,368",0,"481,368",2025,3,2023,10,
Michigan ,"2,906,966","1,006,704","937,715","68,989",2025,3,2023,10,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Minnesota ,"1,366,844","305,284","305,284",0,2025,3,2023,10,
Mississippi ,"779,328",N/A,N/A,N/A,2025,3,2023,10,
Missouri ,"1,421,390","339,843","339,843",0,2025,3,2023,10,"Missouri expanded its Medicaid program by adopting the VIII Group on October 1, 2021."
Montana ,"250,619","91,419","91,419",0,2025,3,2023,10,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
N. Mariana Islands ,"15,496",N/A,N/A,N/A,2025,3,2023,10,
Nebraska ,"378,820","81,211","79,334","1,877",2025,3,2023,10,
Nevada ,"833,428","374,579","374,579",0,2025,3,2023,10,
New Hampshire ,"182,772","60,444","60,009",435,2025,3,2023,10,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
New Jersey ,"2,048,414","733,766","733,766",0,2025,3,2023,10,
New Mexico ,"912,357","285,526","285,526",0,2025,3,2023,10,
New York ,"7,702,202","2,484,812","411,049","2,073,763",2025,3,2023,10,
North Carolina ,"2,943,557",0,0,0,2025,3,2023,10,"North Carolina expanded its Medicaid program by adopting the VIII Group on October 1, 2023."
North Dakota ,"120,476","31,180","29,683","1,497",2025,3,2023,10,
Ohio ,"3,383,139","821,886","821,649",237,2025,3,2023,10,
Oklahoma ,"1,060,227","289,589","289,589",0,2025,3,2023,10,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021."
Oregon ,"1,339,154","711,787","600,424","111,363",2025,3,2023,10,
Pennsylvania ,"3,398,908","1,053,921","994,139","59,782",2025,3,2023,10,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Puerto Rico ,"1,548,689","716,192",N/A,"716,192",2025,3,2023,10,
Rhode Island ,"350,858","93,050","93,050",0,2025,3,2023,10,
South Carolina ,"1,541,814",N/A,N/A,N/A,2025,3,2023,10,
South Dakota ,"110,371","12,623","12,623",0,2025,3,2023,10,"South Dakota expanded its Medicaid program by adopting the VIII Group on July 1, 2023."
Tennessee ,"1,827,750",N/A,N/A,N/A,2025,3,2023,10,
Texas ,"5,152,234",N/A,N/A,N/A,2025,3,2023,10,
Utah ,"411,516","108,287","107,202","1,085",2025,3,2023,10,"Utah expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
Vermont ,"185,559","76,438",0,"76,438",2025,3,2023,10,
Virgin Islands ,"30,690","14,241",N/A,"14,241",2025,3,2023,10,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
Virginia ,"1,968,702","747,844","747,844",0,2025,3,2023,10,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Washington ,"1,979,335","702,750","681,988","20,762",2025,3,2023,10,
West Virginia ,"574,968","198,563","198,563",0,2025,3,2023,10,
Wisconsin ,"1,422,573",N/A,N/A,N/A,2025,3,2023,10,
Wyoming ,"79,329",N/A,N/A,N/A,2025,3,2023,10,
