State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Notes
Alabama ,"1,207,862",N/A,N/A,N/A,2025,8,2024,1,
Alaska ,"244,467","72,051","72,051",0,2025,8,2024,1,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Amer. Samoa ,"33,746",N/A,N/A,N/A,2025,8,2024,1,
Arizona ,"2,164,982","643,527","125,078","518,449",2025,8,2024,1,
Arkansas ,"803,964","254,579","246,668","7,911",2025,8,2024,1,
California ,"14,853,288","5,092,036","5,064,570","27,466",2025,8,2024,1,
Colorado ,"1,313,588","440,963","433,801","7,162",2025,8,2024,1,
Connecticut ,"1,124,599","347,054","317,795","29,259",2025,8,2024,1,
Delaware ,"264,518","84,528","12,447","72,081",2025,8,2024,1,
District of Columbia ,"279,564","129,303","84,693","44,610",2025,8,2024,1,
Florida ,"4,884,883",N/A,N/A,N/A,2025,8,2024,1,
Georgia ,"2,188,558",N/A,N/A,N/A,2025,8,2024,1,
Guam ,"43,582","6,101",N/A,"6,101",2025,8,2024,1,
Hawaii ,"480,854","181,191","28,699","152,492",2025,8,2024,1,
Idaho ,"369,501","100,790","100,790",0,2025,8,2024,1,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
Illinois ,"3,258,568","944,263","858,901","85,362",2025,8,2024,1,
Indiana ,"1,913,502","582,622","582,622",0,2025,8,2024,1,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Iowa ,"630,640","192,572","182,605","9,967",2025,8,2024,1,
Kansas ,"401,626",N/A,N/A,N/A,2025,8,2024,1,
Kentucky ,"1,466,870","555,131","555,131",0,2025,8,2024,1,
Louisiana ,"2,074,344","937,615","681,365","256,250",2025,8,2024,1,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Maine ,"400,152","113,926","90,045","23,881",2025,8,2024,1,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Maryland ,"1,523,065","436,433","436,433",0,2025,8,2024,1,
Massachusetts ,"2,093,040","429,309",0,"429,309",2025,8,2024,1,
Michigan ,"2,712,823","913,095","849,647","63,448",2025,8,2024,1,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Minnesota ,"1,345,043","299,463","299,463",0,2025,8,2024,1,
Mississippi ,"754,585",N/A,N/A,N/A,2025,8,2024,1,
Missouri ,"1,348,559","330,846","330,846",0,2025,8,2024,1,"Missouri expanded its Medicaid program by adopting the VIII Group on October 1, 2021."
Montana ,"238,827","87,143","87,143",0,2025,8,2024,1,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
N. Mariana Islands ,"19,988",N/A,N/A,N/A,2025,8,2024,1,
Nebraska ,"362,745","77,265","75,483","1,782",2025,8,2024,1,
Nevada ,"806,875","359,860","359,860",0,2025,8,2024,1,
New Hampshire ,"182,394","61,713","61,165",548,2025,8,2024,1,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
New Jersey ,"1,943,355","682,060","682,060",0,2025,8,2024,1,
New Mexico ,"890,429","285,922","285,922",0,2025,8,2024,1,
New York ,"7,447,225","2,357,643","387,912","1,969,731",2025,8,2024,1,
North Carolina ,"3,004,993","362,763","362,763",0,2025,8,2024,1,"North Carolina expanded its Medicaid program by adopting the VIII Group on October 1, 2023."
North Dakota ,"112,881","28,122","26,779","1,343",2025,8,2024,1,
Ohio ,"3,278,085","788,653","788,418",235,2025,8,2024,1,
Oklahoma ,"1,020,076","257,411","257,411",0,2025,8,2024,1,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021."
Oregon ,"1,318,232","689,499","580,030","109,469",2025,8,2024,1,
Pennsylvania ,"3,238,259","973,471","916,889","56,582",2025,8,2024,1,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Puerto Rico ,"1,372,455","682,874",N/A,"682,874",2025,8,2024,1,
Rhode Island ,"338,247","81,599","81,599",0,2025,8,2024,1,
South Carolina ,"1,497,909",N/A,N/A,N/A,2025,8,2024,1,
South Dakota ,"116,221","19,811","19,811",0,2025,8,2024,1,"South Dakota expanded its Medicaid program by adopting the VIII Group on July 1, 2023."
Tennessee ,"1,723,350",N/A,N/A,N/A,2025,8,2024,1,
Texas ,"4,421,173",N/A,N/A,N/A,2025,8,2024,1,
Utah ,"369,197","95,076","93,938","1,138",2025,8,2024,1,"Utah expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
Vermont ,"181,219","73,414",0,"73,414",2025,8,2024,1,
Virgin Islands ,"26,725","11,916",N/A,"11,916",2025,8,2024,1,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
Virginia ,"1,932,613","730,145","730,145",0,2025,8,2024,1,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Washington ,"1,940,440","677,830","655,891","21,939",2025,8,2024,1,
West Virginia ,"540,364","180,251","180,251",0,2025,8,2024,1,
Wisconsin ,"1,393,407",N/A,N/A,N/A,2025,8,2024,1,
Wyoming ,"77,539",N/A,N/A,N/A,2025,8,2024,1,
Totals,"89,975,996","22,651,839","17,987,120","4,664,719",2025,8,2024,1,
Alabama ,"1,189,975",N/A,N/A,N/A,2025,8,2024,2,
Alaska ,"243,814","72,227","72,227",0,2025,8,2024,2,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Amer. Samoa ,"33,746",N/A,N/A,N/A,2025,8,2024,2,
Arizona ,"2,176,720","647,912","126,349","521,563",2025,8,2024,2,
Arkansas ,"804,243","250,534","242,890","7,644",2025,8,2024,2,
California ,"14,801,219","5,076,953","5,049,975","26,978",2025,8,2024,2,
Colorado ,"1,264,461","417,171","410,101","7,070",2025,8,2024,2,
Connecticut ,"1,118,029","342,379","313,486","28,893",2025,8,2024,2,
Delaware ,"261,445","82,419","12,288","70,131",2025,8,2024,2,
District of Columbia ,"272,997","128,707","84,411","44,296",2025,8,2024,2,
Florida ,"4,854,202",N/A,N/A,N/A,2025,8,2024,2,
Georgia ,"2,132,146",N/A,N/A,N/A,2025,8,2024,2,
Guam ,"41,387","5,888",N/A,"5,888",2025,8,2024,2,
Hawaii ,"477,839","178,751","28,463","150,288",2025,8,2024,2,
Idaho ,"365,314","98,454","98,454",0,2025,8,2024,2,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
Illinois ,"3,224,201","930,062","844,120","85,942",2025,8,2024,2,
Indiana ,"1,888,143","578,775","578,775",0,2025,8,2024,2,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Iowa ,"629,620","191,688","183,023","8,665",2025,8,2024,2,
Kansas ,"399,986",N/A,N/A,N/A,2025,8,2024,2,
Kentucky ,"1,471,025","551,525","551,525",0,2025,8,2024,2,
Louisiana ,"2,045,547","917,582","662,799","254,783",2025,8,2024,2,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Maine ,"400,791","114,922","90,703","24,219",2025,8,2024,2,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Maryland ,"1,509,170","434,243","434,243",0,2025,8,2024,2,
Massachusetts ,"2,088,012","425,151",0,"425,151",2025,8,2024,2,
Michigan ,"2,652,267","883,429","821,663","61,766",2025,8,2024,2,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Minnesota ,"1,267,989","266,671","266,671",0,2025,8,2024,2,
Mississippi ,"752,869",N/A,N/A,N/A,2025,8,2024,2,
Missouri ,"1,325,432","331,392","331,392",0,2025,8,2024,2,"Missouri expanded its Medicaid program by adopting the VIII Group on October 1, 2021."
Montana ,"235,885","85,454","85,454",0,2025,8,2024,2,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
N. Mariana Islands ,"20,206",N/A,N/A,N/A,2025,8,2024,2,
Nebraska ,"362,093","77,057","75,298","1,759",2025,8,2024,2,
Nevada ,"807,202","359,115","359,115",0,2025,8,2024,2,
New Hampshire ,"181,726","61,292","60,704",588,2025,8,2024,2,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
New Jersey ,"1,912,116","665,820","665,820",0,2025,8,2024,2,
New Mexico ,"889,742","287,038","287,038",0,2025,8,2024,2,
New York ,"7,363,711","2,319,567","378,679","1,940,888",2025,8,2024,2,
North Carolina ,"3,018,529","387,478","387,478",0,2025,8,2024,2,"North Carolina expanded its Medicaid program by adopting the VIII Group on October 1, 2023."
North Dakota ,"111,021","27,347","26,037","1,310",2025,8,2024,2,
Ohio ,"3,251,289","778,629","778,389",240,2025,8,2024,2,
Oklahoma ,"1,022,577","253,722","253,722",0,2025,8,2024,2,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021."
Oregon ,"1,303,108","675,491","565,891","109,600",2025,8,2024,2,
