State,"Total Medicaid Enrollees","Total VIII Group Enrollees","Total VIII Group Newly Eligible Enrollees","Total VIII Group Not Newly Eligible Enrollees","Updated Year","Updated Month","Enrollment Year","Enrollment Month",Notes
Alabama,"1,123,576",N/A,N/A,N/A,2022,3,2020,10,
Alaska,"229,167","62,501","62,500",1,2022,3,2020,10,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
"Amer. Samoa","37,756",N/A,N/A,N/A,2022,3,2020,10,
Arizona,"2,062,190","524,292","151,591","372,701",2022,3,2020,10,
Arkansas,"902,991","295,474","294,549",925,2022,3,2020,10,
California,"13,069,995","4,033,289","4,005,146","28,143",2022,3,2020,10,
Colorado,"1,371,253","465,150","456,351","8,799",2022,3,2020,10,
Connecticut,"1,022,058","298,663","271,328","27,335",2022,3,2020,10,
Delaware,"234,170","70,273","10,539","59,734",2022,3,2020,10,
"Dist. Of Col.","257,048","113,105","71,380","41,725",2022,3,2020,10,
Florida,"4,403,660",N/A,N/A,N/A,2022,3,2020,10,
Georgia,"2,182,653",N/A,N/A,N/A,2022,3,2020,10,
Guam,"32,988","4,247",N/A,"4,247",2022,3,2020,10,
Hawaii,"384,085","137,357","24,044","113,313",2022,3,2020,10,
Idaho,"390,671","85,953","85,953",0,2022,3,2020,10,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
Illinois,"2,891,888","794,184","689,539","104,645",2022,3,2020,10,
Indiana,"1,617,128","428,974","428,974",0,2022,3,2020,10,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Iowa,"662,889","200,288","171,544","28,744",2022,3,2020,10,
Kansas,"388,078",N/A,N/A,N/A,2022,3,2020,10,
Kentucky,"1,515,279","615,376","615,376",0,2022,3,2020,10,
Louisiana,"1,785,285","575,895","575,895",0,2022,3,2020,10,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Maine,"322,030","67,114","52,769","14,345",2022,3,2020,10,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Maryland,"1,353,610","352,398","352,398",0,2022,3,2020,10,
Massachusetts,"1,793,269","377,428",0,"377,428",2022,3,2020,10,
Michigan,"2,663,000","821,769","767,694","54,075",2022,3,2020,10,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Minnesota,"1,164,561","222,771","222,771",0,2022,3,2020,10,
Mississippi,"729,167",N/A,N/A,N/A,2022,3,2020,10,
Missouri,"985,138",N/A,N/A,N/A,2022,3,2020,10,
Montana,"257,427","96,770","96,770",0,2022,3,2020,10,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"N. Mariana Islands","15,887",N/A,N/A,N/A,2022,3,2020,10,
Nebraska,"284,488","14,770","14,363",407,2022,3,2020,10,
Nevada,"695,391","262,190","262,190",0,2022,3,2020,10,
"New Hampshire","203,259","65,394","65,035",359,2022,3,2020,10,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
"New Jersey","1,757,686","614,399","614,399",0,2022,3,2020,10,
"New Mexico","893,839","280,902","280,902",0,2022,3,2020,10,
"New York","6,644,097","2,165,950","379,422","1,786,528",2022,3,2020,10,
"North Carolina","2,350,156",N/A,N/A,N/A,2022,3,2020,10,
"North Dakota","109,417","24,236","22,948","1,288",2022,3,2020,10,
Ohio,"3,100,396","668,839","668,571",268,2022,3,2020,10,
Oklahoma,"786,701",N/A,N/A,N/A,2022,3,2020,10,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021."
Oregon,"1,089,264","558,790","465,890","92,900",2022,3,2020,10,
Pennsylvania,"3,097,693","923,654","877,097","46,557",2022,3,2020,10,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
"Puerto Rico","1,208,638","433,412",N/A,"433,412",2022,3,2020,10,
"Rhode Island","313,623","78,223","78,223",0,2022,3,2020,10,
"South Carolina","1,351,779",N/A,N/A,N/A,2022,3,2020,10,
"South Dakota","113,411",N/A,N/A,N/A,2022,3,2020,10,
Tennessee,"1,641,933",N/A,N/A,N/A,2022,3,2020,10,
Texas,"4,718,298",N/A,N/A,N/A,2022,3,2020,10,
Utah,"372,983","72,462","71,694",768,2022,3,2020,10,"Utah expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
Vermont,"179,635","64,136",0,"64,136",2022,3,2020,10,
"Virgin Islands","32,731","15,697",N/A,"15,697",2022,3,2020,10,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
