State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Notes
Alabama ,"1,088,640",N/A,N/A,N/A,2025,11,2024,10,
Alaska ,"242,291","73,873","73,871",2,2025,11,2024,10,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Amer. Samoa ,"31,150",N/A,N/A,N/A,2025,11,2024,10,
Arizona ,"2,119,468","602,721","124,015","478,706",2025,11,2024,10,
Arkansas ,"803,252","233,031","225,355","7,676",2025,11,2024,10,
California ,"14,927,139","5,035,837","5,013,664","22,173",2025,11,2024,10,
Colorado ,"1,182,033","368,764","358,634","10,130",2025,11,2024,10,
Connecticut ,"1,085,012","324,102","296,114","27,988",2025,11,2024,10,
Delaware ,"234,480","69,758","9,767","59,991",2025,11,2024,10,
District of Columbia ,"262,532","118,884","76,193","42,691",2025,11,2024,10,
Florida ,"4,194,988",N/A,N/A,N/A,2025,11,2024,10,
Georgia ,"2,175,729",N/A,N/A,N/A,2025,11,2024,10,
Guam ,"36,339","4,556",N/A,"4,556",2025,11,2024,10,
Hawaii ,"414,423","140,036","18,774","121,262",2025,11,2024,10,
Idaho ,"347,191","87,683","87,683",0,2025,11,2024,10,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
Illinois ,"2,964,190","850,920","767,527","83,393",2025,11,2024,10,
Indiana ,"1,861,603","575,246","575,246",0,2025,11,2024,10,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Iowa ,"601,069","179,918","179,022",896,2025,11,2024,10,
Kansas ,"384,977",N/A,N/A,N/A,2025,11,2024,10,
Kentucky ,"1,366,733","476,293","476,293",0,2025,11,2024,10,
Louisiana ,"1,874,166","792,080","549,299","242,781",2025,11,2024,10,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Maine ,"381,837","104,787","81,896","22,891",2025,11,2024,10,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Maryland ,"1,393,102","393,613","393,613",0,2025,11,2024,10,
Massachusetts ,"2,033,131","390,990",0,"390,990",2025,11,2024,10,
Michigan ,"2,370,214","734,706","683,055","51,651",2025,11,2024,10,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Minnesota ,"1,194,296","227,666","227,666",0,2025,11,2024,10,
Mississippi ,"658,732",N/A,N/A,N/A,2025,11,2024,10,
Missouri ,"1,230,290","339,987","339,987",0,2025,11,2024,10,"Missouri expanded its Medicaid program by adopting the VIII Group on October 1, 2021."
Montana ,"216,579","77,678","77,678",0,2025,11,2024,10,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
N. Mariana Islands ,"17,489",N/A,N/A,N/A,2025,11,2024,10,
Nebraska ,"343,763","70,858","69,096","1,762",2025,11,2024,10,
Nevada ,"714,948","288,528","288,528",0,2025,11,2024,10,
New Hampshire ,"181,671","60,485","59,560",925,2025,11,2024,10,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
New Jersey ,"1,689,547","569,739","569,739",0,2025,11,2024,10,
New Mexico ,"874,912","278,023","278,023",0,2025,11,2024,10,
New York ,"6,994,747","2,073,588","307,786","1,765,802",2025,11,2024,10,
North Carolina ,"3,093,680","574,560","574,560",0,2025,11,2024,10,"North Carolina expanded its Medicaid program by adopting the VIII Group on October 1, 2023."
North Dakota ,"107,047","24,501","23,278","1,223",2025,11,2024,10,
Ohio ,"3,099,156","732,874","732,671",203,2025,11,2024,10,
Oklahoma ,"975,330","233,440","233,440",0,2025,11,2024,10,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021."
Oregon ,"1,295,398","662,691","550,930","111,761",2025,11,2024,10,
Pennsylvania ,"3,001,526","835,938","786,752","49,186",2025,11,2024,10,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Puerto Rico ,"1,361,129","628,727",N/A,"628,727",2025,11,2024,10,
Rhode Island ,"129,612","71,690","71,690",0,2025,11,2024,10,
South Carolina ,"1,283,931",N/A,N/A,N/A,2025,11,2024,10,
South Dakota ,"134,204","28,062","28,062",0,2025,11,2024,10,"South Dakota expanded its Medicaid program by adopting the VIII Group on July 1, 2023."
Tennessee ,"1,527,213",N/A,N/A,N/A,2025,11,2024,10,
Texas ,"4,385,793",N/A,N/A,N/A,2025,11,2024,10,
Utah ,"344,469","80,662","79,525","1,137",2025,11,2024,10,"Utah expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
Vermont ,"167,887","63,876",0,"63,876",2025,11,2024,10,
Virgin Islands ,"21,892","8,658",N/A,"8,658",2025,11,2024,10,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
Virginia ,"1,769,010","653,526","653,526",0,2025,11,2024,10,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Washington ,"1,852,789","621,232","598,041","23,191",2025,11,2024,10,
West Virginia ,"518,172","171,373","171,373",0,2025,11,2024,10,
Wisconsin ,"1,266,537",N/A,N/A,N/A,2025,11,2024,10,
Wyoming ,"68,002",N/A,N/A,N/A,2025,11,2024,10,
Totals,"84,895,440","20,936,160","16,711,932","4,224,228",2025,11,2024,10,
Alabama ,"1,085,885",N/A,N/A,N/A,2025,11,2024,11,
Alaska ,"240,047","73,685","73,683",2,2025,11,2024,11,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Amer. Samoa ,"31,150",N/A,N/A,N/A,2025,11,2024,11,
Arizona ,"2,093,034","584,887","122,302","462,585",2025,11,2024,11,
Arkansas ,"802,400","233,234","225,498","7,736",2025,11,2024,11,
California ,"14,882,197","5,029,132","5,007,216","21,916",2025,11,2024,11,
Colorado ,"1,189,939","372,588","362,415","10,173",2025,11,2024,11,
Connecticut ,"1,080,932","322,599","294,727","27,872",2025,11,2024,11,
Delaware ,"232,745","69,454","9,681","59,773",2025,11,2024,11,
District of Columbia ,"262,337","119,303","76,630","42,673",2025,11,2024,11,
Florida ,"4,221,449",N/A,N/A,N/A,2025,11,2024,11,
Georgia ,"2,176,291",N/A,N/A,N/A,2025,11,2024,11,
Guam ,"35,984","4,515",N/A,"4,515",2025,11,2024,11,
Hawaii ,"413,201","139,300","18,783","120,517",2025,11,2024,11,
Idaho ,"347,774","88,144","88,144",0,2025,11,2024,11,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
Illinois ,"2,952,701","849,857","767,266","82,591",2025,11,2024,11,
Indiana ,"1,849,212","574,803","574,803",0,2025,11,2024,11,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Iowa ,"601,805","180,287","179,490",797,2025,11,2024,11,
Kansas ,"385,563",N/A,N/A,N/A,2025,11,2024,11,
Kentucky ,"1,365,954","476,345","476,345",0,2025,11,2024,11,
Louisiana ,"1,868,538","790,889","549,467","241,422",2025,11,2024,11,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Maine ,"377,571","101,828","78,906","22,922",2025,11,2024,11,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Maryland ,"1,378,839","386,026","386,026",0,2025,11,2024,11,
Massachusetts ,"2,018,363","384,508",0,"384,508",2025,11,2024,11,
