State,"Total Medicaid Enrollees","Total VIII Group Enrollees","Total VIII Group Newly Eligible Enrollees","Total VIII Group Not Newly Eligible Enrollees","Updated Year","Updated Month","Enrollment Year","Enrollment Month",Notes
Georgia,1941288,,,,2020,2,2018,8,
"Amer. Samoa",27898,,,,2020,2,2018,9,
Ohio,2919452,590989,590699,290,2020,2,2018,9,
Wyoming,57513,,,,2020,2,2018,9,
Vermont,174201,57473,0,57473,2020,2,2018,9,
"Puerto Rico",1241794,411936,,411936,2020,2,2018,9,
"New Hampshire",186728,55024,54727,297,2020,2,2018,9,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
"Virgin Islands",25474,11347,,11347,2020,2,2018,9,"Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
"New Jersey",1674135,555514,555514,0,2020,2,2018,9,
"North Dakota",91096,19872,18885,987,2020,2,2018,9,
Wisconsin,1181756,,,,2020,2,2018,9,
Pennsylvania,2855345,770564,731789,38775,2020,2,2018,9,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Virginia,1073040,0,0,0,2020,2,2018,9,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Tennessee,1496795,,,,2020,2,2018,9,
"New Mexico",826594,248307,248307,0,2020,2,2018,9,
"South Carolina",1262242,,,,2020,2,2018,9,
"West Virginia",534034,163554,163554,0,2020,2,2018,9,
Oregon,947809,451491,375958,75533,2020,2,2018,9,
Texas,4254778,,,,2020,2,2018,9,
Washington,1759640,561298,547730,13568,2020,2,2018,9,
"New York",6150250,1915271,299091,1616180,2020,2,2018,9,
Iowa,604187,167984,153533,14451,2020,2,2018,9,
Alaska,206277,48272,48270,2,2020,2,2018,9,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Alabama,1025250,,,,2020,2,2018,9,
Arkansas,915127,280923,280441,482,2020,2,2018,7,
Pennsylvania,2889531,787158,747021,40137,2020,2,2018,7,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
"Dist. Of Col.",261071,110308,68937,41371,2020,2,2018,7,
Missouri,929322,,,,2020,2,2018,9,
"Rhode Island",309924,69330,69330,0,2020,2,2018,8,
Mississippi,678243,,,,2020,2,2018,8,
Kentucky,1324040,464074,464074,0,2020,2,2018,7,
"North Carolina",2179965,,,,2020,2,2018,7,
Michigan,2434780,686125,626607,59518,2020,2,2018,7,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Virginia,1070855,0,0,0,2020,2,2018,7,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Massachusetts,1742631,346875,0,346875,2020,2,2018,9,
Totals,76353875,15448246,12137627,3310619,2020,2,2018,7,
Indiana,1320972,302840,302840,0,2020,2,2018,8,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Utah,296817,,,,2020,2,2018,8,
Montana,260463,98630,98630,0,2020,2,2018,7,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"South Dakota",105275,,,,2020,2,2018,7,
Florida,3723585,,,,2020,2,2018,9,
"New York",6158642,1921610,300259,1621351,2020,2,2018,8,
Louisiana,1646050,486291,486291,0,2020,2,2018,8,"Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Washington,1766725,566372,552157,14215,2020,2,2018,8,
Kansas,374444,,,,2020,2,2018,9,
Alabama,1019417,,,,2020,2,2018,7,
Arizona,1873080,414203,106007,308196,2020,2,2018,8,
Nevada,602322,214260,214260,0,2020,2,2018,8,
Colorado,1300426,411490,404538,6952,2020,2,2018,9,
Hawaii,322003,116486,21627,94859,2020,2,2018,7,
Illinois,2835995,724881,617626,107255,2020,2,2018,7,
