State,"Total Medicaid Enrollees","Total VIII Group Enrollees","Total VIII Group Newly Eligible Enrollees","Total VIII Group Not Newly Eligible Enrollees","Updated Year","Updated Month","Enrollment Year","Enrollment Month",Notes
"Alabama ","1,146,080 ",N/A,N/A,N/A,2025,11,2024,4,
"Alaska ","243,969 ","72,596 ","72,592 ","4 ",2025,11,2024,4,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
"Amer. Samoa ","33,746 ",N/A,N/A,N/A,2025,11,2024,4,
"Arizona ","2,169,300 ","638,299 ","125,964 ","512,335 ",2025,11,2024,4,
"Arkansas ","810,936 ","245,527 ","238,240 ","7,287 ",2025,11,2024,4,
"California ","14,773,372 ","5,069,701 ","5,044,167 ","25,534 ",2025,11,2024,4,
"Colorado ","1,172,713 ","367,008 ","360,581 ","6,427 ",2025,11,2024,4,
"Connecticut ","1,098,981 ","327,571 ","299,031 ","28,540 ",2025,11,2024,4,
"Delaware ","254,233 ","77,143 ","11,310 ","65,833 ",2025,11,2024,4,
"Dist. Of Col. ","270,086 ","125,937 ","81,635 ","44,302 ",2025,11,2024,4,
"Florida ","4,333,838 ",N/A,N/A,N/A,2025,11,2024,4,
"Georgia ","2,197,444 ",N/A,N/A,N/A,2025,11,2024,4,
"Guam ","41,381 ","5,888 ",N/A,"5,888 ",2025,11,2024,4,
"Hawaii ","471,147 ","173,441 ","26,896 ","146,545 ",2025,11,2024,4,
"Idaho ","363,886 ","97,663 ","97,663 ","0 ",2025,11,2024,4,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
"Illinois ","3,113,976 ","900,853 ","813,658 ","87,195 ",2025,11,2024,4,
"Indiana ","1,884,551 ","576,508 ","576,508 ","0 ",2025,11,2024,4,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
"Iowa ","607,583 ","184,382 ","179,886 ","4,496 ",2025,11,2024,4,
"Kansas ","409,386 ",N/A,N/A,N/A,2025,11,2024,4,
"Kentucky ","1,476,761 ","549,113 ","549,113 ","0 ",2025,11,2024,4,
"Louisiana ","1,980,245 ","879,422 ","621,585 ","257,837 ",2025,11,2024,4,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
"Maine ","396,699 ","112,817 ","88,835 ","23,982 ",2025,11,2024,4,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
"Maryland ","1,501,861 ","429,818 ","429,818 ","0 ",2025,11,2024,4,
"Massachusetts ","2,008,465 ","402,925 ","0 ","402,925 ",2025,11,2024,4,
"Michigan ","2,532,903 ","818,909 ","760,836 ","58,073 ",2025,11,2024,4,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
"Minnesota ","1,217,719 ","238,079 ","238,079 ","0 ",2025,11,2024,4,
"Mississippi ","703,381 ",N/A,N/A,N/A,2025,11,2024,4,
"Missouri ","1,279,065 ","333,801 ","333,801 ","0 ",2025,11,2024,4,"Missouri expanded its Medicaid program by adopting the VIII Group on October 1, 2021."
"Montana ","231,324 ","84,363 ","84,363 ","0 ",2025,11,2024,4,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"N. Mariana Islands ","21,317 ",N/A,N/A,N/A,2025,11,2024,4,
"Nebraska ","354,897 ","74,550 ","72,828 ","1,722 ",2025,11,2024,4,
"Nevada ","757,694 ","329,036 ","329,036 ","0 ",2025,11,2024,4,
"New Hampshire ","181,665 ","61,412 ","60,732 ","680 ",2025,11,2024,4,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
"New Jersey ","1,845,364 ","634,335 ","634,335 ","0 ",2025,11,2024,4,
"New Mexico ","884,907 ","291,732 ","291,732 ","0 ",2025,11,2024,4,
"New York ","7,210,916 ","2,230,450 ","353,417 ","1,877,033 ",2025,11,2024,4,
"North Carolina ","3,040,153 ","445,048 ","445,048 ","0 ",2025,11,2024,4,"North Carolina expanded its Medicaid program by adopting the VIII Group on October 1, 2023."
"North Dakota ","106,346 ","25,216 ","23,945 ","1,271 ",2025,11,2024,4,
"Ohio ","3,175,363 ","745,930 ","745,692 ","238 ",2025,11,2024,4,
"Oklahoma ","977,520 ","247,414 ","247,414 ","0 ",2025,11,2024,4,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021."
"Oregon ","1,292,011 ","660,119 ","550,241 ","109,878 ",2025,11,2024,4,
"Pennsylvania ","3,083,109 ","887,095 ","834,047 ","53,048 ",2025,11,2024,4,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
"Puerto Rico ","1,420,661 ","663,377 ",N/A,"663,377 ",2025,11,2024,4,
"Rhode Island ","320,876 ","80,651 ","80,651 ","0 ",2025,11,2024,4,
"South Carolina ","1,447,312 ",N/A,N/A,N/A,2025,11,2024,4,
"South Dakota ","120,980 ","22,600 ","22,600 ","0 ",2025,11,2024,4,"South Dakota expanded its Medicaid program by adopting the VIII Group on July 1, 2023."
"Tennessee ","1,615,919 ",N/A,N/A,N/A,2025,11,2024,4,
"Texas ","4,496,887 ",N/A,N/A,N/A,2025,11,2024,4,
"Utah ","342,298 ","80,035 ","78,996 ","1,039 ",2025,11,2024,4,"Utah expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
"Vermont ","174,779 ","68,970 ","0 ","68,970 ",2025,11,2024,4,
"Virgin Islands ","22,247 ","9,052 ",N/A,"9,052 ",2025,11,2024,4,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
"Virginia ","1,887,684 ","711,772 ","711,772 ","0 ",2025,11,2024,4,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
"Washington ","1,892,676 ","638,012 ","615,187 ","22,825 ",2025,11,2024,4,
"West Virginia ","524,457 ","171,420 ","171,420 ","0 ",2025,11,2024,4,
"Wisconsin ","1,310,295 ",N/A,N/A,N/A,2025,11,2024,4,
"Wyoming ","70,451 ",N/A,N/A,N/A,2025,11,2024,4,
Totals,"87,303,815 ","21,789,990 ","17,303,654 ","4,486,336 ",2025,11,2024,4,
"Alabama ","1,123,940 ",N/A,N/A,N/A,2025,11,2024,5,
"Alaska ","244,370 ","73,138 ","73,134 ","4 ",2025,11,2024,5,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
"Amer. Samoa ","33,746 ",N/A,N/A,N/A,2025,11,2024,5,
"Arizona ","2,170,027 ","635,786 ","125,705 ","510,081 ",2025,11,2024,5,
"Arkansas ","813,326 ","244,180 ","236,574 ","7,606 ",2025,11,2024,5,
"California ","14,669,235 ","5,025,131 ","5,000,384 ","24,747 ",2025,11,2024,5,
"Colorado ","1,138,346 ","349,632 ","343,358 ","6,274 ",2025,11,2024,5,
"Connecticut ","1,094,390 ","325,045 ","296,972 ","28,073 ",2025,11,2024,5,
"Delaware ","249,889 ","74,593 ","10,900 ","63,693 ",2025,11,2024,5,
"Dist. Of Col. ","267,686 ","124,315 ","80,156 ","44,159 ",2025,11,2024,5,
"Florida ","4,303,812 ",N/A,N/A,N/A,2025,11,2024,5,
"Georgia ","2,211,001 ",N/A,N/A,N/A,2025,11,2024,5,
"Guam ","40,606 ","5,759 ",N/A,"5,759 ",2025,11,2024,5,
"Hawaii ","463,740 ","167,950 ","25,357 ","142,593 ",2025,11,2024,5,
"Idaho ","361,105 ","96,401 ","96,401 ","0 ",2025,11,2024,5,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
"Illinois ","3,064,628 ","883,063 ","796,199 ","86,864 ",2025,11,2024,5,
"Indiana ","1,862,674 ","574,278 ","574,278 ","0 ",2025,11,2024,5,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
"Iowa ","604,297 ","183,109 ","179,663 ","3,446 ",2025,11,2024,5,
"Kansas ","400,909 ",N/A,N/A,N/A,2025,11,2024,5,
"Kentucky ","1,447,545 ","525,867 ","525,867 ","0 ",2025,11,2024,5,
"Louisiana ","1,943,876 ","852,545 ","599,370 ","253,175 ",2025,11,2024,5,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
"Maine ","396,605 ","112,662 ","88,442 ","24,220 ",2025,11,2024,5,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
"Maryland ","1,493,067 ","427,682 ","427,682 ","0 ",2025,11,2024,5,
"Massachusetts ","1,990,943 ","394,937 ","0 ","394,937 ",2025,11,2024,5,
"Michigan ","2,464,834 ","779,747 ","723,597 ","56,150 ",2025,11,2024,5,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
"Minnesota ","1,198,378 ","229,930 ","229,930 ","0 ",2025,11,2024,5,
"Mississippi ","684,139 ",N/A,N/A,N/A,2025,11,2024,5,
"Missouri ","1,259,878 ","332,838 ","332,838 ","0 ",2025,11,2024,5,"Missouri expanded its Medicaid program by adopting the VIII Group on October 1, 2021."
"Montana ","229,499 ","83,875 ","83,875 ","0 ",2025,11,2024,5,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"N. Mariana Islands ","21,293 ",N/A,N/A,N/A,2025,11,2024,5,
"Nebraska ","351,305 ","73,184 ","71,468 ","1,716 ",2025,11,2024,5,
"Nevada ","746,345 ","319,870 ","319,870 ","0 ",2025,11,2024,5,
"New Hampshire ","182,189 ","61,411 ","60,693 ","718 ",2025,11,2024,5,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
"New Jersey ","1,813,253 ","620,108 ","620,108 ","0 ",2025,11,2024,5,
"New Mexico ","882,918 ","291,627 ","291,627 ","0 ",2025,11,2024,5,
"New York ","7,102,755 ","2,172,337 ","339,685 ","1,832,652 ",2025,11,2024,5,
"North Carolina ","3,045,234 ","471,022 ","471,022 ","0 ",2025,11,2024,5,"North Carolina expanded its Medicaid program by adopting the VIII Group on October 1, 2023."
"North Dakota ","105,259 ","24,529 ","23,267 ","1,262 ",2025,11,2024,5,
"Ohio ","3,146,379 ","741,468 ","741,243 ","225 ",2025,11,2024,5,
"Oklahoma ","987,509 ","250,522 ","250,522 ","0 ",2025,11,2024,5,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021."
"Oregon ","1,280,010 ","650,612 ","542,035 ","108,577 ",2025,11,2024,5,
"Pennsylvania ","3,023,919 ","853,880 ","802,419 ","51,461 ",2025,11,2024,5,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
"Puerto Rico ","1,414,583 ","653,410 ",N/A,"653,410 ",2025,11,2024,5,
"Rhode Island ","312,108 ","79,567 ","79,567 ","0 ",2025,11,2024,5,
"South Carolina ","1,404,686 ",N/A,N/A,N/A,2025,11,2024,5,
"South Dakota ","122,952 ","23,434 ","23,434 ","0 ",2025,11,2024,5,"South Dakota expanded its Medicaid program by adopting the VIII Group on July 1, 2023."
"Tennessee ","1,575,425 ",N/A,N/A,N/A,2025,11,2024,5,
"Texas ","4,449,339 ",N/A,N/A,N/A,2025,11,2024,5,
"Utah ","342,051 ","79,716 ","78,649 ","1,067 ",2025,11,2024,5,"Utah expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
"Vermont ","173,521 ","68,045 ","0 ","68,045 ",2025,11,2024,5,
"Virgin Islands ","22,180 ","9,008 ",N/A,"9,008 ",2025,11,2024,5,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
"Virginia ","1,852,129 ","688,918 ","688,918 ","0 ",2025,11,2024,5,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
"Washington ","1,873,071 ","629,906 ","607,845 ","22,061 ",2025,11,2024,5,
"West Virginia ","522,706 ","171,041 ","171,041 ","0 ",2025,11,2024,5,
