State,Year,Quarter,Population
Oklahoma,2017,1,679641.3333333334
Oklahoma,2017,2,675692.6666666666
Oklahoma,2017,3,669365.6666666666
Oklahoma,2017,4,661396.3333333334
Oregon,2017,1,994107.3333333334
Oregon,2017,2,1012950.0
Oregon,2017,3,978692.0
Oregon,2017,4,965543.3333333334
Pennsylvania,2017,1,2850454.6666666665
Pennsylvania,2017,2,2849530.3333333335
Pennsylvania,2017,3,2759163.0
Pennsylvania,2017,4,2723214.0
Puerto Rico,2017,1,1249693.0
Puerto Rico,2017,2,1261764.3333333333
Puerto Rico,2017,3,1234244.0
Puerto Rico,2017,4,1242147.3333333333
Rhode Island,2017,1,302152.6666666667
Rhode Island,2017,2,310248.6666666667
Rhode Island,2017,3,310419.3333333333
Rhode Island,2017,4,309330.0
South Carolina,2017,1,1257655.0
South Carolina,2017,2,1248809.6666666667
South Carolina,2017,3,1227813.3333333333
South Carolina,2017,4,1256267.3333333333
South Dakota,2017,1,108108.66666666667
South Dakota,2017,2,106749.66666666667
South Dakota,2017,3,106148.0
South Dakota,2017,4,86679.0
Tennessee,2017,1,1674428.6666666667
Tennessee,2017,2,1597986.6666666667
Tennessee,2017,3,1576490.0
Tennessee,2017,4,1614361.3333333333
Texas,2017,1,4344626.333333333
Texas,2017,2,4312748.0
Texas,2017,3,4318695.666666667
Texas,2017,4,4336146.666666667
Totals,2017,4,76709680.0
Utah,2017,1,308070.3333333333
Utah,2017,2,303690.3333333333
Utah,2017,3,299551.3333333333
Utah,2017,4,299743.3333333333
Vermont,2017,1,186222.0
Vermont,2017,2,184515.33333333334
Vermont,2017,3,179639.0
Vermont,2017,4,177869.33333333334
Virgin Islands,2017,1,35483.666666666664
Virgin Islands,2017,2,23599.666666666668
Virgin Islands,2017,3,17472.0
Virgin Islands,2017,4,23084.666666666668
Virginia,2017,1,1015235.3333333334
Virginia,2017,2,1024460.0
Virginia,2017,3,1032093.3333333334
Virginia,2017,4,1044684.3333333334
Washington,2017,1,1844079.3333333333
Washington,2017,2,1840406.0
Washington,2017,3,1808352.3333333333
Washington,2017,4,1798903.0
West Virginia,2017,1,559069.6666666666
West Virginia,2017,2,553838.0
West Virginia,2017,3,550894.3333333334
West Virginia,2017,4,545364.3333333334
Wisconsin,2017,1,1192710.3333333333
Wisconsin,2017,2,1188067.0
Wisconsin,2017,3,1186242.6666666667
Wisconsin,2017,4,1186205.6666666667
Wyoming,2017,1,62149.666666666664
Wyoming,2017,2,62155.333333333336
Wyoming,2017,3,60687.0
Wyoming,2017,4,60219.333333333336
Alabama,2018,1,1020837.6666666666
Alabama,2018,2,1022330.3333333334
Alabama,2018,3,1022206.0
Alabama,2018,4,1029058.0
Alaska,2018,1,196836.33333333334
Alaska,2018,2,198563.0
Alaska,2018,3,205991.0
Alaska,2018,4,206503.66666666666
Amer. Samoa,2018,1,27898.0
Amer. Samoa,2018,2,27898.0
Amer. Samoa,2018,3,27898.0
Amer. Samoa,2018,4,28183.0
Arizona,2018,1,1891265.0
Arizona,2018,2,1867824.0
Arizona,2018,3,1874902.6666666667
Arizona,2018,4,1874802.6666666667
Arkansas,2018,1,923930.3333333334
Arkansas,2018,2,921438.6666666666
Arkansas,2018,3,911571.3333333334
Arkansas,2018,4,860208.0
California,2018,1,13082849.0
California,2018,2,12987836.333333334
California,2018,3,12858150.333333334
California,2018,4,12785341.333333334
Colorado,2018,1,1298917.3333333333
Colorado,2018,2,1286687.0
Colorado,2018,3,1298391.3333333333
Colorado,2018,4,1276583.0
Connecticut,2018,1,920697.0
Connecticut,2018,2,925831.3333333334
Connecticut,2018,3,935486.6666666666
Connecticut,2018,4,942762.6666666666
Delaware,2018,1,211253.66666666666
Delaware,2018,2,209852.0
Delaware,2018,3,211124.0
Delaware,2018,4,145885.66666666666
Dist. Of Col.,2018,1,263268.6666666667
Dist. Of Col.,2018,2,260290.66666666666
Dist. Of Col.,2018,3,260700.33333333334
Dist. Of Col.,2018,4,260837.0
Florida,2018,1,3959854.3333333335
Florida,2018,2,3889010.0
Florida,2018,3,3819999.6666666665
Florida,2018,4,3808965.0
Georgia,2018,1,1959811.0
Georgia,2018,2,1956849.6666666667
Georgia,2018,3,1952723.3333333333
Georgia,2018,4,1943638.6666666667
Guam,2018,1,35612.666666666664
Guam,2018,2,36124.666666666664
Guam,2018,3,36277.333333333336
Guam,2018,4,36411.333333333336
Hawaii,2018,1,331113.3333333333
Hawaii,2018,2,327476.6666666667
Hawaii,2018,3,320394.3333333333
Hawaii,2018,4,315681.0
Idaho,2018,1,305424.3333333333
Idaho,2018,2,295117.0
Idaho,2018,3,301001.6666666667
Idaho,2018,4,303807.6666666667
Illinois,2018,1,2901152.6666666665
Illinois,2018,2,2838548.3333333335
Illinois,2018,3,2813200.3333333335
Illinois,2018,4,2715744.3333333335
Indiana,2018,1,1343081.3333333333
Indiana,2018,2,1331400.0
Indiana,2018,3,1317294.6666666667
Indiana,2018,4,1312306.3333333333
Iowa,2018,1,597978.6666666666
Iowa,2018,2,603304.3333333334
Iowa,2018,3,603821.6666666666
Iowa,2018,4,604639.3333333334
Kansas,2018,1,371576.3333333333
Kansas,2018,2,367279.3333333333
Kansas,2018,3,375074.0
Kansas,2018,4,373060.6666666667
Kentucky,2018,1,1355666.0
Kentucky,2018,2,1332720.6666666667
Kentucky,2018,3,1317721.3333333333
Kentucky,2018,4,1296805.0
Louisiana,2018,1,1646839.0
Louisiana,2018,2,1645273.3333333333
Louisiana,2018,3,1644139.6666666667
Louisiana,2018,4,1651888.3333333333
Maine,2018,1,256686.0
Maine,2018,2,256432.0
Maine,2018,3,252692.33333333334
Maine,2018,4,250010.33333333334
Maryland,2018,1,1233550.3333333333
Maryland,2018,2,1227714.0
Maryland,2018,3,1215304.3333333333
Maryland,2018,4,1213467.0
Massachusetts,2018,1,1878095.3333333333
Massachusetts,2018,2,1830304.0
Massachusetts,2018,3,1766586.0
Massachusetts,2018,4,1739616.6666666667
Michigan,2018,1,2447338.0
Michigan,2018,2,2440101.3333333335
Michigan,2018,3,2434395.3333333335
Michigan,2018,4,2423788.0
Minnesota,2018,1,1093775.3333333333
Minnesota,2018,2,1096979.6666666667
Minnesota,2018,3,1093616.3333333333
Minnesota,2018,4,1079819.3333333333
Mississippi,2018,1,696256.0
Mississippi,2018,2,687221.0
Mississippi,2018,3,677417.0
Mississippi,2018,4,672875.6666666666
Missouri,2018,1,963390.0
Missouri,2018,2,962560.6666666666
Missouri,2018,3,938083.6666666666
Missouri,2018,4,905763.3333333334
Montana,2018,1,257005.0
Montana,2018,2,259752.33333333334
Montana,2018,3,257077.0
Montana,2018,4,257472.0
N. Mariana Islands,2018,1,1387.0
N. Mariana Islands,2018,2,1342.6666666666667
N. Mariana Islands,2018,3,17021.0
N. Mariana Islands,2018,4,15994.666666666666
Nebraska,2018,1,246703.33333333334
Nebraska,2018,2,247011.66666666666
Nebraska,2018,3,245673.0
Nebraska,2018,4,244690.66666666666
Nevada,2018,1,598776.3333333334
Nevada,2018,2,600836.3333333334
Nevada,2018,3,601428.0
Nevada,2018,4,595185.6666666666
New Hampshire,2018,1,190611.33333333334
New Hampshire,2018,2,188675.0
New Hampshire,2018,3,187126.0
New Hampshire,2018,4,185878.33333333334
New Jersey,2018,1,1696414.0
New Jersey,2018,2,1691372.6666666667
New Jersey,2018,3,1683237.3333333333
New Jersey,2018,4,1661822.3333333333
New Mexico,2018,1,859378.3333333334
New Mexico,2018,2,848042.0
New Mexico,2018,3,833604.6666666666
New Mexico,2018,4,834189.3333333334
New York,2018,1,6168095.666666667
New York,2018,2,6160723.666666667
New York,2018,3,6155684.333333333
New York,2018,4,6150913.666666667
North Carolina,2018,1,2155117.0
North Carolina,2018,2,2164444.3333333335
North Carolina,2018,3,2180959.3333333335
North Carolina,2018,4,2180708.3333333335
North Dakota,2018,1,93162.0
North Dakota,2018,2,93856.0
North Dakota,2018,3,92224.66666666667
North Dakota,2018,4,90829.66666666667
Ohio,2018,1,3012423.6666666665
Ohio,2018,2,2962712.0
Ohio,2018,3,2927230.0
Ohio,2018,4,2880530.0
Oklahoma,2018,1,651388.6666666666
Oklahoma,2018,2,650472.6666666666
Oklahoma,2018,3,651897.6666666666
Oklahoma,2018,4,647649.6666666666
Oregon,2018,1,960257.0
Oregon,2018,2,957699.0
Oregon,2018,3,954984.6666666666
Oregon,2018,4,955111.0
Pennsylvania,2018,1,2744836.3333333335
Pennsylvania,2018,2,2732714.6666666665
Pennsylvania,2018,3,2876101.3333333335
Pennsylvania,2018,4,2858014.0
Puerto Rico,2018,1,1262539.6666666667
Puerto Rico,2018,2,1275169.6666666667
Puerto Rico,2018,3,1255491.6666666667
Puerto Rico,2018,4,1231235.3333333333
Rhode Island,2018,1,309026.3333333333
Rhode Island,2018,2,309148.6666666667
Rhode Island,2018,3,309060.0
Rhode Island,2018,4,308324.0
South Carolina,2018,1,1258796.3333333333
South Carolina,2018,2,1249390.3333333333
South Carolina,2018,3,1261593.0
South Carolina,2018,4,1264790.6666666667
South Dakota,2018,1,105670.66666666667
South Dakota,2018,2,105750.66666666667
South Dakota,2018,3,105072.66666666667
South Dakota,2018,4,104184.33333333333
Tennessee,2018,1,1620346.3333333333
Tennessee,2018,2,1587050.0
Tennessee,2018,3,1518018.0
Tennessee,2018,4,1509166.3333333333
Texas,2018,1,4305496.333333333
Texas,2018,2,4262989.0
Texas,2018,3,4257470.0
Texas,2018,4,4235451.0
Totals,2018,1,76850016.33333333
Totals,2018,2,76311923.0
Totals,2018,3,75968262.66666667
Totals,2018,4,75365189.0
Utah,2018,1,299674.0
Utah,2018,2,296571.6666666667
Utah,2018,3,294707.3333333333
Utah,2018,4,291957.3333333333
Vermont,2018,1,178669.33333333334
Vermont,2018,2,177581.33333333334
Vermont,2018,3,175215.0
Vermont,2018,4,173151.66666666666
Virgin Islands,2018,1,24220.0
Virgin Islands,2018,2,24930.666666666668
Virgin Islands,2018,3,25298.333333333332
Virgin Islands,2018,4,26977.666666666668
Virginia,2018,1,1051191.0
Virginia,2018,2,1064895.6666666667
Virginia,2018,3,1071450.3333333333
Virginia,2018,4,1078521.6666666667
Washington,2018,1,1791660.6666666667
Washington,2018,2,1780286.6666666667
Washington,2018,3,1766547.6666666667
Washington,2018,4,1758931.0
West Virginia,2018,1,541700.3333333334
West Virginia,2018,2,538721.0
West Virginia,2018,3,535796.3333333334
West Virginia,2018,4,528470.0
Wisconsin,2018,1,1191453.3333333333
Wisconsin,2018,2,1188213.6666666667
Wisconsin,2018,3,1184505.0
Wisconsin,2018,4,1179406.0
Wyoming,2018,1,59062.666666666664
Wyoming,2018,2,58601.0
Wyoming,2018,3,57623.666666666664
Wyoming,2018,4,57179.666666666664
Alabama,2019,1,1032761.0
Alabama,2019,2,1033221.6666666666
Alabama,2019,3,1043193.3333333334
Alabama,2019,4,1048775.0
Alaska,2019,1,207064.0
Alaska,2019,2,205735.33333333334
Alaska,2019,3,213297.33333333334
Alaska,2019,4,213974.33333333334
Amer. Samoa,2019,1,28183.0
Amer. Samoa,2019,2,37829.0
Amer. Samoa,2019,3,37829.0
Amer. Samoa,2019,4,35002.0
Arizona,2019,1,1877310.0
Arizona,2019,2,1869703.0
Arizona,2019,3,1886558.6666666667
Arizona,2019,4,1889215.6666666667
Arkansas,2019,1,833060.3333333334
Arkansas,2019,2,825826.6666666666
Arkansas,2019,3,830106.3333333334
Arkansas,2019,4,835105.0
California,2019,1,12712384.333333334
California,2019,2,12581041.0
California,2019,3,12562396.666666666
California,2019,4,12391835.0
Colorado,2019,1,1254404.0
Colorado,2019,2,1235000.0
Colorado,2019,3,1230346.3333333333
Colorado,2019,4,1217316.0
Connecticut,2019,1,951897.3333333334
Connecticut,2019,2,952741.6666666666
Connecticut,2019,3,951455.3333333334
Connecticut,2019,4,951734.6666666666
Delaware,2019,1,219247.0
Delaware,2019,2,204867.33333333334
Delaware,2019,3,213796.33333333334
Delaware,2019,4,212259.66666666666
Dist. Of Col.,2019,1,260772.0
Dist. Of Col.,2019,2,259927.66666666666
Dist. Of Col.,2019,3,262395.0
Dist. Of Col.,2019,4,262853.6666666667
Florida,2019,1,3761522.6666666665
Florida,2019,2,3795238.6666666665
Florida,2019,3,3793870.0
Florida,2019,4,3770941.0
Georgia,2019,1,1958765.0
Georgia,2019,2,1963102.0
Georgia,2019,3,1986926.6666666667
Georgia,2019,4,2038961.0
Guam,2019,1,36192.0
Guam,2019,2,35685.333333333336
Guam,2019,3,35385.666666666664
Guam,2019,4,34784.333333333336
Hawaii,2019,1,312190.3333333333
Hawaii,2019,2,306898.3333333333
Hawaii,2019,3,310790.0
Hawaii,2019,4,309716.0
Idaho,2019,1,294418.0
Idaho,2019,2,298229.3333333333
Idaho,2019,3,287735.6666666667
Idaho,2019,4,291723.6666666667
Illinois,2019,1,2642231.3333333335
Illinois,2019,2,2590201.3333333335
Illinois,2019,3,2679109.3333333335
Illinois,2019,4,2660947.0
Indiana,2019,1,1317100.3333333333
Indiana,2019,2,1322439.6666666667
Indiana,2019,3,1326660.6666666667
Indiana,2019,4,1330330.0
Iowa,2019,1,603098.3333333334
Iowa,2019,2,605434.0
Iowa,2019,3,605076.0
Iowa,2019,4,603472.0
Kansas,2019,1,365635.3333333333
Kansas,2019,2,348815.6666666667
Kansas,2019,3,358501.6666666667
Kansas,2019,4,357857.3333333333
Kentucky,2019,1,1293211.0
Kentucky,2019,2,1289673.0
Kentucky,2019,3,1286813.6666666667
Kentucky,2019,4,1268487.6666666667
Louisiana,2019,1,1675895.0
Louisiana,2019,2,1609901.3333333333
Louisiana,2019,3,1615742.6666666667
Louisiana,2019,4,1606224.3333333333
Maine,2019,1,256529.66666666666
Maine,2019,2,267016.6666666667
Maine,2019,3,277183.3333333333
Maine,2019,4,282683.3333333333
Maryland,2019,1,1216661.6666666667
Maryland,2019,2,1227281.3333333333
Maryland,2019,3,1237960.0
Maryland,2019,4,1245449.3333333333
Massachusetts,2019,1,1462917.6666666667
Massachusetts,2019,2,1450171.6666666667
Massachusetts,2019,3,1727308.6666666667
Massachusetts,2019,4,1706651.6666666667
Michigan,2019,1,2433139.3333333335
Michigan,2019,2,2402479.0
Michigan,2019,3,2375436.3333333335
Michigan,2019,4,2384103.6666666665
Minnesota,2019,1,1065215.3333333333
Minnesota,2019,2,1058273.6666666667
Minnesota,2019,3,1057468.6666666667
Minnesota,2019,4,1051726.6666666667
Mississippi,2019,1,674603.3333333334
Mississippi,2019,2,674250.6666666666
Mississippi,2019,3,672577.6666666666
Mississippi,2019,4,672181.0
Missouri,2019,1,889020.3333333334
Missouri,2019,2,858937.6666666666
Missouri,2019,3,838997.6666666666
Missouri,2019,4,837560.0
Montana,2019,1,258001.0
Montana,2019,2,255379.66666666666
Montana,2019,3,252092.33333333334
Montana,2019,4,248085.0
N. Mariana Islands,2019,1,16125.666666666666
N. Mariana Islands,2019,2,16337.0
N. Mariana Islands,2019,3,16554.333333333332
N. Mariana Islands,2019,4,16110.666666666666
Nebraska,2019,1,244896.0
Nebraska,2019,2,243623.66666666666
Nebraska,2019,3,241609.0
Nebraska,2019,4,237580.33333333334
Nevada,2019,1,588450.0
Nevada,2019,2,588139.3333333334
Nevada,2019,3,588055.0
Nevada,2019,4,583803.0
New Hampshire,2019,1,184983.33333333334
New Hampshire,2019,2,182051.66666666666
New Hampshire,2019,3,180449.66666666666
New Hampshire,2019,4,180971.66666666666
New Jersey,2019,1,1641006.0
New Jersey,2019,2,1598102.6666666667
New Jersey,2019,3,1612776.6666666667
New Jersey,2019,4,1604914.6666666667
New Mexico,2019,1,835147.3333333334
New Mexico,2019,2,830416.0
New Mexico,2019,3,829129.6666666666
New Mexico,2019,4,831013.3333333334
New York,2019,1,6139991.0
New York,2019,2,6095223.0
New York,2019,3,6107596.333333333
New York,2019,4,6086837.0
North Carolina,2019,1,2171385.0
North Carolina,2019,2,2136004.3333333335
North Carolina,2019,3,2173067.0
North Carolina,2019,4,2165236.0
North Dakota,2019,1,89512.66666666667
North Dakota,2019,2,89836.33333333333
North Dakota,2019,3,88958.66666666667
North Dakota,2019,4,88656.33333333333
Ohio,2019,1,2845402.3333333335
Ohio,2019,2,2800104.3333333335
Ohio,2019,3,2825976.6666666665
Ohio,2019,4,2787555.3333333335
Oklahoma,2019,1,641332.6666666666
Oklahoma,2019,2,640718.6666666666
Oklahoma,2019,3,645974.3333333334
Oklahoma,2019,4,639366.3333333334
Oregon,2019,1,963173.0
Oregon,2019,2,962991.0
Oregon,2019,3,962710.3333333334
Oregon,2019,4,968203.0
Pennsylvania,2019,1,2861822.3333333335
Pennsylvania,2019,2,2858732.6666666665
Pennsylvania,2019,3,2844503.6666666665
Pennsylvania,2019,4,2827303.3333333335
Puerto Rico,2019,1,1207282.0
Puerto Rico,2019,2,1231304.3333333333
Puerto Rico,2019,3,1161542.6666666667
Puerto Rico,2019,4,1167571.0
Rhode Island,2019,1,304989.6666666667
Rhode Island,2019,2,301080.6666666667
Rhode Island,2019,3,297897.6666666667
Rhode Island,2019,4,291180.6666666667
South Carolina,2019,1,1268650.3333333333
South Carolina,2019,2,1259245.6666666667
South Carolina,2019,3,1292867.0
South Carolina,2019,4,1283887.6666666667
South Dakota,2019,1,104397.0
South Dakota,2019,2,104330.66666666667
South Dakota,2019,3,103702.33333333333
South Dakota,2019,4,102781.66666666667
Tennessee,2019,1,1542456.0
Tennessee,2019,2,1582111.6666666667
Tennessee,2019,3,1590447.0
Tennessee,2019,4,1581407.0
Texas,2019,1,4206232.0
Texas,2019,2,4133346.3333333335
Texas,2019,3,4163431.0
Texas,2019,4,4150263.3333333335
Totals,2019,1,75135637.33333333
Totals,2019,2,74699814.33333333
Totals,2019,3,75050338.66666667
Totals,2019,4,74629529.66666667
Utah,2019,1,288838.6666666667
Utah,2019,2,291317.0
Utah,2019,3,295509.0
Utah,2019,4,295318.0
Vermont,2019,1,170429.0
Vermont,2019,2,167689.66666666666
Vermont,2019,3,166330.0
Vermont,2019,4,163902.0
Virgin Islands,2019,1,27965.666666666668
Virgin Islands,2019,2,28831.333333333332
Virgin Islands,2019,3,29669.333333333332
Virgin Islands,2019,4,30412.666666666668
Virginia,2019,1,1397024.0
Virginia,2019,2,1501650.0
Virginia,2019,3,1265581.0
Virginia,2019,4,1298691.0
Washington,2019,1,1744601.3333333333
Washington,2019,2,1731651.6666666667
Washington,2019,3,1848481.0
Washington,2019,4,1728988.0
West Virginia,2019,1,523463.3333333333
West Virginia,2019,2,521719.0
West Virginia,2019,3,521302.3333333333
West Virginia,2019,4,519454.6666666667
Wisconsin,2019,1,1177500.0
Wisconsin,2019,2,1182994.0
Wisconsin,2019,3,1185273.0
Wisconsin,2019,4,1184171.3333333333
Wyoming,2019,1,55150.333333333336
Wyoming,2019,2,54959.333333333336
Wyoming,2019,3,53933.0
Wyoming,2019,4,53993.666666666664
Alabama,2020,1,1053454.3333333333
Alabama,2020,2,1073171.0
Alabama,2020,3,1103095.0
Alabama,2020,4,
Alaska,2020,1,215320.0
Alaska,2020,2,220452.33333333334
Alaska,2020,3,224144.0
Alaska,2020,4,
Amer. Samoa,2020,1,35002.0
Amer. Samoa,2020,2,35002.0
Amer. Samoa,2020,3,35002.0
Amer. Samoa,2020,4,
Arizona,2020,1,1873437.3333333333
Arizona,2020,2,1946241.0
Arizona,2020,3,2022184.6666666667
Arizona,2020,4,
Arkansas,2020,1,832768.6666666666
Arkansas,2020,2,855881.6666666666
Arkansas,2020,3,882775.3333333334
Arkansas,2020,4,
California,2020,1,12218098.0
California,2020,4,
California *,2020,2,12448511.666666666
California *,2020,3,12848760.0
Colorado,2020,1,1198636.3333333333
Colorado,2020,2,1255693.6666666667
Colorado,2020,3,1325283.3333333333
Colorado,2020,4,
Connecticut,2020,1,953966.3333333334
Connecticut,2020,2,978442.6666666666
Connecticut,2020,3,998774.6666666666
Connecticut,2020,4,
Delaware,2020,1,213170.33333333334
Delaware,2020,2,220473.66666666666
Delaware,2020,3,229183.66666666666
Delaware,2020,4,
Dist. Of Col.,2020,1,255963.0
Dist. Of Col.,2020,2,259851.0
Dist. Of Col.,2020,3,266199.0
Dist. Of Col.,2020,4,
Florida,2020,1,3753170.6666666665
Florida,2020,2,4032456.0
Florida,2020,3,4236961.666666667
Florida,2020,4,
Georgia,2020,1,2037565.0
Georgia,2020,2,2053823.0
Georgia,2020,3,2125357.3333333335
Georgia,2020,4,
Guam,2020,1,34095.333333333336
Guam,2020,2,34038.333333333336
Guam,2020,3,33370.0
Guam,2020,4,
Hawaii,2020,1,308625.3333333333
Hawaii,2020,2,321403.3333333333
Hawaii,2020,3,343506.0
Hawaii,2020,4,
Idaho,2020,1,342505.0
Idaho,2020,2,362277.6666666667
Idaho,2020,3,378392.3333333333
Idaho,2020,4,
Illinois,2020,1,2644775.0
Illinois,2020,2,2738163.3333333335
Illinois,2020,3,2820711.6666666665
Illinois,2020,4,
Indiana,2020,1,1355380.0
Indiana,2020,2,1452318.3333333333
Indiana,2020,3,1548856.3333333333
Indiana,2020,4,
Iowa,2020,1,600909.6666666666
Iowa,2020,2,622259.0
Iowa,2020,3,648394.0
Iowa,2020,4,
Kansas,2020,1,356567.6666666667
Kansas,2020,2,365021.0
Kansas,2020,3,378432.3333333333
Kansas,2020,4,
Kentucky,2020,1,1263875.0
Kentucky,2020,2,1374054.3333333333
Kentucky,2020,3,1498066.3333333333
Kentucky,2020,4,
Louisiana,2020,1,1622615.0
Louisiana,2020,2,1679959.3333333333
Louisiana,2020,3,1745795.6666666667
Louisiana,2020,4,
Maine,2020,1,285832.6666666667
Maine,2020,2,301338.6666666667
Maine,2020,3,314465.0
Maine,2020,4,
Maryland,2020,1,1253110.6666666667
Maryland,2020,2,1285785.0
Maryland,2020,3,1327499.3333333333
Maryland,2020,4,
Massachusetts,2020,1,1703807.6666666667
Massachusetts,2020,2,1705358.3333333333
Massachusetts,2020,3,1753054.6666666667
Massachusetts,2020,4,
Michigan,2020,1,2410589.3333333335
Michigan,2020,2,2501887.0
Michigan,2020,3,2599339.0
Michigan,2020,4,
Minnesota,2020,1,1056514.0
Minnesota,2020,2,1092638.6666666667
Minnesota,2020,3,1133440.3333333333
Minnesota,2020,4,
Mississippi,2020,1,671046.3333333334
