State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Notes
Alabama,"1,287,819",N/A,N/A,N/A,2023,12,2022,7,
Alaska,"254,283","71,743","71,742",1,2023,12,2022,7,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Amer. Samoa,"31,434",N/A,N/A,N/A,2023,12,2022,7,
Arizona,"2,367,046","692,627","191,001","501,626",2023,12,2022,7,
Arkansas,"1,040,107","342,184","329,397","12,787",2023,12,2022,7,
California,"14,671,665","4,873,642","4,843,425","30,217",2023,12,2022,7,
Colorado,"1,632,065","598,305","590,774","7,531",2023,12,2022,7,
Connecticut,"1,140,225","360,654","330,121","30,533",2023,12,2022,7,
Delaware,"280,579","91,734","14,322","77,412",2023,12,2022,7,
District of Columbia,"327,926","132,721","87,974","44,747",2023,12,2022,7,
Florida,"5,318,887",N/A,N/A,N/A,2023,12,2022,7,
Georgia,"2,525,638",N/A,N/A,N/A,2023,12,2022,7,
Guam,"41,313","5,355",N/A,"5,355",2023,12,2022,7,
Hawaii,"454,377","180,739","30,822","149,917",2023,12,2022,7,
Idaho,"447,043","124,832","124,832",0,2023,12,2022,7,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
Illinois,"3,349,228","967,441","869,204","98,237",2023,12,2022,7,
Indiana,"1,988,174","569,730","569,730",0,2023,12,2022,7,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Iowa,"767,534","251,506","191,955","59,551",2023,12,2022,7,
Kansas,"452,934",N/A,N/A,N/A,2023,12,2022,7,
Kentucky,"1,535,353","617,287","617,287",0,2023,12,2022,7,
Louisiana,"1,988,655","744,752","744,752",0,2023,12,2022,7,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Maine,"382,750","103,223","81,862","21,361",2023,12,2022,7,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Maryland,"1,548,859","446,105","446,105",0,2023,12,2022,7,
Massachusetts,"2,108,064","471,245",0,"471,245",2023,12,2022,7,
Michigan,"2,986,381","1,015,084","949,709","65,375",2023,12,2022,7,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Minnesota,"1,348,611","296,011","296,011",0,2023,12,2022,7,
Mississippi,"817,070",N/A,N/A,N/A,2023,12,2022,7,
